as_of,assumed_opponents,assumed_crowd_concentration,contest_share_given_actual_results,baseline_share_given_actual_results
2020-01-14,10000,2.5,0.0,0.0
2020-01-14,100,5.0,0.0,1.247867013027113e-36
2020-01-14,1000,5.0,0.0,0.0
2020-01-14,10000,5.0,0.0,0.0
2020-01-21,100,1.0,1.0282039252532922e-109,1.8796771991502598e-35
2020-01-21,1000,1.0,0.0,0.0
2020-01-21,10000,1.0,0.0,0.0
2020-01-21,100,2.5,8.356367307850766e-177,3.66468035679404e-44
2020-01-21,1000,2.5,0.0,0.0
2020-01-21,10000,2.5,0.0,0.0
2020-01-21,100,5.0,3.6209770517473783e-295,9.506322019715268e-48
2020-01-21,1000,5.0,0.0,0.0
2020-01-21,10000,5.0,0.0,0.0
2020-01-28,100,1.0,3.1205771844465264e-05,5.607314346878495e-11
2020-01-28,1000,1.0,2.085842175342246e-40,2.6112943125460022e-95
2020-01-28,10000,1.0,0.0,0.0
2020-01-28,100,2.5,2.9320886327693737e-06,6.247975917227132e-14
2020-01-28,1000,2.5,1.4112971681241522e-49,1.027971012628886e-123
2020-01-28,10000,2.5,0.0,0.0
2020-01-28,100,5.0,1.1635638024176359e-06,2.1356071200822476e-16
2020-01-28,1000,5.0,1.1567871856558559e-52,2.1322397706453792e-147
2020-01-28,10000,5.0,0.0,0.0
2020-02-11,100,1.0,3.634563613618316e-63,6.829831486952947e-10
2020-02-11,1000,1.0,0.0,8.276473977545362e-85
2020-02-11,10000,1.0,0.0,0.0
2020-02-11,100,2.5,7.345622681058494e-103,7.940421648027895e-16
2020-02-11,1000,2.5,0.0,2.145150285307039e-142
2020-02-11,10000,2.5,0.0,0.0
2020-02-11,100,5.0,7.596180456725049e-155,6.256966158023356e-20
2020-02-11,1000,5.0,0.0,2.040231926448662e-182
2020-02-11,10000,5.0,0.0,0.0
2020-02-18,100,1.0,5.987354577520599e-34,5.987354577520599e-34
2020-02-18,1000,1.0,1.9303e-320,1.9303e-320
2020-02-18,10000,1.0,0.0,0.0
2020-02-18,100,2.5,4.463303859238775e-46,4.463303859238775e-46
2020-02-18,1000,2.5,0.0,0.0
2020-02-18,10000,2.5,0.0,0.0
2020-02-18,100,5.0,3.9813394472941346e-54,3.9813394472941346e-54
2020-02-18,1000,5.0,0.0,0.0
2020-02-18,10000,5.0,0.0,0.0
2020-03-03,100,1.0,0.0017891072638474964,4.6861191649796895e-07
2020-03-03,1000,1.0,1.3116802593074918e-24,7.258158283592213e-58
2020-03-03,10000,1.0,3.4352139874691265e-227,0.0
2020-03-03,100,2.5,0.00032051110466058683,7.635912667405797e-09
2020-03-03,1000,2.5,3.719880579181715e-31,1.015983689596198e-74
2020-03-03,10000,2.5,1.2773159573756658e-291,0.0
2020-03-03,100,5.0,0.00025955431345283324,8.294686593525406e-10
2020-03-03,1000,5.0,1.6606930376190007e-31,1.8058689335979554e-83
